trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.985, 'e': 0.995}",25,0,-53.957160240575035,"{0: 16, 1: 6, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.970225, 'e': 0.99}",20,0,-64.20580357283411,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.955671625, 'e': 0.985}",30,0,-141.87948390502353,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.941336550625, 'e': 0.98}",25,0,-109.3225178488906,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.927216502365625, 'e': 0.975}",20,0,-226.915633940821,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.9133082548301407, 'e': 0.97}",25,0,-73.7757820389493,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.8996086310076885, 'e': 0.965}",25,0,-70.44931023204524,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.8861145015425732, 'e': 0.96}",25,12,-40.34259508701768,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
9,False,"{'a': 0.8728227840194346, 'e': 0.955}",25,0,-110.77018853705562,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.8597304422591431, 'e': 0.95}",20,0,-64.53731795600632,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.8468344856252559, 'e': 0.945}",20,0,-121.78975553458017,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.834131968340877, 'e': 0.94}",20,0,-57.286796110309766,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.8216199888157638, 'e': 0.9349999999999999}",30,0,-113.84908472976497,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.8092956889835273, 'e': 0.9299999999999999}",20,0,-114.51188469041587,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.7971562536487744, 'e': 0.9249999999999999}",20,0,-40.92125171124334,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.7851989098440427, 'e': 0.9199999999999999}",25,0,-113.02332521915426,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.773420926196382, 'e': 0.9149999999999999}",20,0,-215.29025026541711,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
18,False,"{'a': 0.7618196123034363, 'e': 0.9099999999999999}",25,1,-55.304988412393236,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.7503923181188847, 'e': 0.9049999999999999}",20,1,-18.86821403458734,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.7391364333471014, 'e': 0.8999999999999999}",30,0,-51.40734979981462,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.7280493868468949, 'e': 0.8949999999999999}",30,0,-187.77278156791252,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
22,False,"{'a': 0.7171286460441915, 'e': 0.8899999999999999}",30,0,-36.098699513209304,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.7063717163535286, 'e': 0.8849999999999999}",25,0,-151.8490303120683,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.6957761406082257, 'e': 0.8799999999999999}",20,0,-60.3791426055213,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.6853394984991023, 'e': 0.8749999999999999}",25,0,-167.7666438035593,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.6750594060216157, 'e': 0.8699999999999999}",20,0,-53.617236815001256,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.6649335149312915, 'e': 0.8649999999999999}",35,0,-91.48198272002062,"{0: 27, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.6549595122073221, 'e': 0.8599999999999999}",25,0,-120.75795734205732,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.6451351195242122, 'e': 0.8549999999999999}",25,0,-104.70925590627726,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.635458092731349, 'e': 0.8499999999999999}",20,0,-110.27746282763202,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.6259262213403788, 'e': 0.8449999999999999}",20,0,-5.399473957203437,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.6165373280202731, 'e': 0.8399999999999999}",20,0,-29.873351898985483,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.607289268099969, 'e': 0.8349999999999999}",20,0,-42.742375832995045,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.5981799290784694, 'e': 0.8299999999999998}",30,0,-210.61687998243517,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
35,False,"{'a': 0.5892072301422924, 'e': 0.8249999999999998}",20,0,-33.204346447568284,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.580369121690158, 'e': 0.8199999999999998}",25,0,-84.54794174617605,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5716635848648056, 'e': 0.8149999999999998}",35,0,-323.4893450742212,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 7}",0
38,False,"{'a': 0.5630886310918335, 'e': 0.8099999999999998}",30,3,-66.79011496436694,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 1}",1
39,False,"{'a': 0.554642301625456, 'e': 0.8049999999999998}",35,8,-74.39523605655373,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 1}",1
40,False,"{'a': 0.5463226671010741, 'e': 0.7999999999999998}",25,0,-54.075437361624665,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.538127827094558, 'e': 0.7949999999999998}",20,0,-44.97268591318773,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
42,False,"{'a': 0.5300559096881396, 'e': 0.7899999999999998}",20,0,-89.97732071475578,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5221050710428176, 'e': 0.7849999999999998}",20,0,-112.34853181234628,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.5142734949771753, 'e': 0.7799999999999998}",25,0,-148.09596163127426,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.5065593925525177, 'e': 0.7749999999999998}",20,0,-59.037321182699394,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.4989610016642299, 'e': 0.7699999999999998}",25,0,-60.83189482669757,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.49147658663926647, 'e': 0.7649999999999998}",20,0,-168.38782034385838,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.48410443783967744, 'e': 0.7599999999999998}",20,0,-66.35329379255305,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.47684287127208225, 'e': 0.7549999999999998}",25,18,3.3753027387493004,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.469690228203001, 'e': 0.7499999999999998}",30,0,-102.22357301434572,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
51,False,"{'a': 0.462644874779956, 'e': 0.7449999999999998}",25,0,-91.17769536292028,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.4557052016582566, 'e': 0.7399999999999998}",30,0,-157.14519340524538,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
53,False,"{'a': 0.4488696236333828, 'e': 0.7349999999999998}",20,6,-57.22183404919531,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.44213657927888206, 'e': 0.7299999999999998}",30,0,-98.22836621848694,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.43550453058969885, 'e': 0.7249999999999998}",25,0,-3.501652589734646,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.42897196263085335, 'e': 0.7199999999999998}",35,0,-130.4707474920452,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.42253738319139056, 'e': 0.7149999999999997}",35,15,-87.95953934612844,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
58,False,"{'a': 0.4161993224435197, 'e': 0.7099999999999997}",20,0,-55.09225369977192,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
59,False,"{'a': 0.4099563326068669, 'e': 0.7049999999999997}",25,16,-17.543074717591626,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
