trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-178.9251779431837,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-86.66598895546178,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-98.29135639133519,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-43.61844609368024,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-145.28164217229298,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-164.65128539413246,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-69.6232777129499,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-233.5096254878178,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-236.8476662508815,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-44.542957335772286,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-95.30836055147927,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-93.59849294144377,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-116.53375533841314,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,2.2592666990863335,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-194.31681667739423,"{0: 8, 1: 0, 2: 8, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,4,-160.86941271433537,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-86.60729403505863,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-209.81871616619574,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,-50.26249730053087,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-59.00241794825896,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-129.56848753156302,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-170.5712753625935,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,2,-49.1380554914532,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-152.10371604668987,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-70.4280101254295,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-34.9460030541784,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-187.02481427869574,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-199.24447341179592,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-232.79728441390827,"{0: 19, 1: 1, 2: 3, 3: 3, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-133.70573484106282,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
